,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
299,Syriam,90,MM,1558562936,94,16.77,96.24,80.6,3.36
300,Laerdalsoyri,100,NO,1558562936,98,61.1,7.48,51.01,4.88
301,Te Anau,63,NZ,1558562936,97,-45.41,167.72,42.37,3.36
302,Mount Gambier,90,AU,1558562810,100,-37.83,140.78,39.2,6.93
303,Bumba,99,CD,1558562937,68,2.18,22.47,78.19,3.83
304,Itamaraju,16,BR,1558562937,86,-17.04,-39.53,71.89,4.43
305,Sierra Vista,1,US,1558562682,16,31.55,-110.3,78.8,24.16
306,Mangan,43,IN,1558562937,58,27.5,88.54,52.27,2.86
307,Buraydah,0,SA,1558562937,30,26.33,43.97,84.2,6.26
308,Hay River,75,CA,1558562937,60,60.82,-115.79,41.0,9.17
309,Leshukonskoye,73,RU,1558562938,69,64.9,45.76,32.65,6.67
310,Gari,78,RU,1558562938,61,59.43,62.35,42.55,4.14
311,Pisco,20,PE,1558562938,30,-13.71,-76.2,71.6,6.93
312,Hofn,100,IS,1558562938,91,64.25,-15.21,38.41,6.49
313,Vetlanda,23,SE,1558562691,100,57.43,15.09,55.99,12.75
314,Jinchang,100,CN,1558562938,14,38.52,102.19,62.71,10.07
315,Vanavara,0,RU,1558562938,79,60.35,102.28,37.69,7.83
316,Deogarh,0,IN,1558562939,65,21.53,84.72,85.03,4.16
317,Salalah,20,OM,1558562939,83,17.01,54.1,84.2,2.24
318,Kattivakkam,40,IN,1558562939,79,13.22,80.32,87.8,9.17
319,Ballina,59,IE,1558562939,89,54.11,-9.15,54.0,8.79
320,Uyuni,15,BO,1558562939,10,-20.46,-66.82,52.09,24.36
321,Pakdasht,0,IR,1558562939,48,35.48,51.68,64.4,4.7
322,Dryden,90,CA,1558562940,100,49.79,-92.84,44.6,17.22
323,Lao Cai,63,VN,1558562940,97,22.48,103.95,63.25,2.17
324,Portland,75,US,1558562852,49,45.52,-122.67,73.99,6.93
325,Lakes Entrance,0,AU,1558562940,96,-37.88,147.99,39.0,3.51
326,Kaikalur,10,IN,1558562940,78,16.57,81.2,84.49,5.46
327,Nemuro,0,JP,1558562896,79,43.32,145.57,49.03,6.51
328,Puerto Castilla,44,ES,1558562941,50,40.29,-5.63,59.11,2.1
329,Banda Aceh,100,ID,1558562941,70,5.56,95.32,84.31,7.94
330,Severo-Kurilsk,100,RU,1558562941,94,50.68,156.12,40.75,32.7
